,0,TF
MC00119|GATA3,0.15381572018779113,GATA3
MS00358|FOXD3,0.15386302607444013,FOXD3
MS00552|MEOX2,0.15515000185547886,MEOX2
MC00311|FOXA1,0.1553508872317307,FOXA1
MS00769|SOX7,0.15648139934191493,SOX7
MS00467|Gbx1,0.1570919044158001,Gbx1
M00155|NR2F2,0.15718487226846717,NR2F2
MS00472|HMBOX1,0.15727531130420092,HMBOX1
MC00326|Gata3,0.1575861621861215,Gata3
UP00091|SOX5,0.15924585936132496,SOX5
MS00571|NKX2-8,0.164438096530366,NKX2-8
MS00514|Hoxa11,0.1644440815568929,Hoxa11
MS00469|Gbx2,0.16538397396682952,Gbx2
MC00465|NR3C1,0.1667664943639718,NR3C1
M01480|Obox5,0.16861915965224067,Obox5
MS00169|RFX5,0.16985955386035842,RFX5
MS00065|IRF4,0.17270052777639552,IRF4
MC00321|JUN,0.17282601193469904,JUN
MS00732|CPEB1,0.17395068270292083,CPEB1
UP00051|Sox8,0.17454219651758718,Sox8
MS00354|FOXC2,0.1747135999246555,FOXC2
MS00302|CEBPG,0.1758034165288881,CEBPG
MC00141|Stat1,0.1775152934656756,Stat1
MS00794|Sox10,0.17972379907202077,Sox10
MC00524|Nr1d1,0.18324735480170776,Nr1d1
MS00041|Spic,0.1835904482179951,Spic
MC00327|Gata1,0.18411819621498077,Gata1
MS00690|ONECUT3,0.1862594718251563,ONECUT3
MS00194|TBX19,0.18637486406110634,TBX19
MC00304|FOXH1,0.18969645585414505,FOXH1
M01146|DMRT1,0.19232891134164493,DMRT1
MC00371|JUNB,0.19256285988250418,JUNB
MS00059|HSF2,0.19279530733536868,HSF2
MC00324|Gata4,0.19303190022993633,Gata4
MS00460|GBX2,0.1939082754084024,GBX2
MS00219|TEAD1,0.1956196766772522,TEAD1
MS00392|Foxg1,0.1970898341411308,Foxg1
MS00669|Nr2f6,0.1981287228063843,Nr2f6
MS00267|MNT,0.19829009498473557,MNT
MA0108|TBP,0.19873574170688324,TBP
UP00048|RARA,0.19940708917963293,RARA
MS00755|SOX21,0.20024670207860762,SOX21
UP00213|HOXA9,0.20088714433020607,HOXA9
UP00243|Isx,0.20198472995685587,Isx
MC00506|Spi1,0.20202497293244417,Spi1
MS00458|En2,0.20280803642472625,En2
M01364|Obox2,0.20434467162131656,Obox2
UP00388|SIX6,0.2050994520718551,SIX6
MS00224|TEAD4,0.20574499475898644,TEAD4
MC00448|Nr1h2,0.2091828024874074,Nr1h2
MS00555|MIXL1,0.20986893775264737,MIXL1
MS00685|RORA,0.21340054011354723,RORA
MS00619|Uncx,0.21410392923010949,Uncx
MC00193|RELA,0.2143071581972638,RELA
MS00762|SOX2,0.21934411559470193,SOX2
UP00107|Nkx2-4,0.22114997146027016,Nkx2-4
MC00121|Cebpb,0.2248686189517529,Cebpb
MS00486|HOXA1,0.2273868242275331,HOXA1
M01195|TBX22,0.22982286629391524,TBX22
MC00231|MEF2C,0.23058940651414203,MEF2C
MC00118|GATA2,0.23209424845449408,GATA2
MS00628|Vsx1,0.23628529934551518,Vsx1
MS00244|Atoh1,0.23844738454945907,Atoh1
MC00186|Nr1d2,0.23916911304674476,Nr1d2
M01295|ATF5,0.24361871196908128,ATF5
MC00413|Runx1,0.24476376105873954,Runx1
M01450|Obox1,0.2466276116460996,Obox1
MS00369|FOXJ3,0.24668881565669276,FOXJ3
MS00436|DPRX,0.24805616532194094,DPRX
M01453|ALX1,0.24837682000176675,ALX1
MS00067|IRF5,0.25303603693161164,IRF5
