,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
73935|ZNF667,0.21074684292055718,Homo sapiens,ZNF667,,293T,None,None,1,ZNF667
45935|TBL1XR1,0.2108163832303832,Homo sapiens,TBL1XR1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,TBL1XR1
65080|ZNF582,0.2126861370103142,Homo sapiens,ZNF582,,HEK293,Epithelium,Embryonic Kidney,0,ZNF582
1224|CCDC101,0.21279055769780741,Homo sapiens,CCDC101,cr,HeLa,Epithelium,Cervix,1,CCDC101
64060|CSDE1,0.21304861799138847,Homo sapiens,CSDE1,,K562,Erythroblast,Bone Marrow,1,CSDE1
65137|ZBTB18,0.2136444759032884,Homo sapiens,ZBTB18,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB18
77129|ZNF417,0.21637048429958616,Homo sapiens,ZNF417,tf,293T,None,None,1,ZNF417
43825|TERF1,0.2167576151049353,Homo sapiens,TERF1,predicted chromatin regulator,LCL,Lymphoblastoid,Blood,1,TERF1
77254|ZSCAN2,0.21697562004209947,Homo sapiens,ZSCAN2,tf,MCF-7,None,None,1,ZSCAN2
34479|NFKBIA,0.21698137620350139,Homo sapiens,NFKBIA,other,None,Keratinocyte,Foreskin,0,NFKBIA
77088|ZNF564,0.2172478486044035,Homo sapiens,ZNF564,tf,293T,None,None,1,ZNF564
62588|MCM7,0.2197817974289214,Homo sapiens,MCM7,,K562,Erythroblast,Bone Marrow,1,MCM7
77270|ZNF410,0.22017529709633943,Homo sapiens,ZNF410,tf,K562,Erythroblast,Bone Marrow,1,ZNF410
64550|GTF2A2,0.220478406243155,Homo sapiens,GTF2A2,,K562,Erythroblast,Bone Marrow,1,GTF2A2
38173|SND1,0.22151628531607875,Homo sapiens,SND1,tf,Mutu III,B Lymphocyte,None,1,SND1
63794|RAD51,0.22380900358795752,Homo sapiens,RAD51,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,RAD51
4487|POLR3A,0.2239213056137006,Homo sapiens,POLR3A,tf,None,T Lymphocyte,Blood,1,POLR3A
43087|7SK,0.22556447415550424,Homo sapiens,7SK,other,HEK293T,Epithelium,Embryonic Kidney,0,7SK
77188|ZFP90,0.22646010445347003,Homo sapiens,ZFP90,tf,293T,None,None,1,ZFP90
63031|t-IgG-control,0.22654789248864715,Homo sapiens,t-IgG-control,,None,None,Liver,1,t-IgG-control
54657|TLX1,0.22656278931079904,Homo sapiens,TLX1,tf,ALL-SIL,T Lymphocyte,Blood,1,TLX1
64978|WT1,0.22706059459790418,Homo sapiens,WT1,tf,HEK293,Epithelium,Embryonic Kidney,1,WT1
62981|ZBED1,0.22814263902606785,Homo sapiens,ZBED1,,GM12878,B Lymphocyte,Blood,1,ZBED1
40348|CHD5,0.22841232186102067,Homo sapiens,CHD5,cr,SH-SY5Y,None,Bone Marrow,1,CHD5
73947|ZNF419,0.22990151635861966,Homo sapiens,ZNF419,,293T,None,None,1,ZNF419
38752|DMRT1,0.22998383198258088,Homo sapiens,DMRT1,tf,LoVo,None,Colon,0,DMRT1
65062|ZNF467,0.23181701151946837,Homo sapiens,ZNF467,,HEK293,Epithelium,Embryonic Kidney,1,ZNF467
38812|ASCL2,0.23189647383953532,Homo sapiens,ASCL2,tf,LoVo,None,Colon,1,ASCL2
77161|ZNF211,0.2322926819857254,Homo sapiens,ZNF211,tf,293T,None,None,1,ZNF211
56997|DACOR1,0.2332506685184627,Homo sapiens,DACOR1,other,None,None,Colon,1,DACOR1
67833|EBNA3A,0.2363988763825176,Homo sapiens,EBNA3A,other,None,Lymphoblast,None,0,EBNA3A
57945|SOX15,0.2366199779672553,Homo sapiens,SOX15,tf,CP-A,Epithelium,Esophagus,0,SOX15
77156|ZNF235,0.23724558699608678,Homo sapiens,ZNF235,tf,293T,None,None,1,ZNF235
63903|ZXDB,0.23788253363101136,Homo sapiens,ZXDB,,HEK293,Epithelium,Embryonic Kidney,1,ZXDB
43555|CBX4,0.2383621467737842,Homo sapiens,CBX4,cr,HEK293T,Epithelium,Embryonic Kidney,1,CBX4
58948|SMN1,0.23878530869343595,Homo sapiens,SMN1,not sure,HEK293,Epithelium,Embryonic Kidney,1,SMN1
77037|ZNF786,0.23906448110907014,Homo sapiens,ZNF786,tf,293T,None,None,1,ZNF786
54106|DNMT1,0.23968285741699846,Homo sapiens,DNMT1,cr,PC-3,Epithelium,Prostate,1,DNMT1
64139|HHEX,0.23969871311205426,Homo sapiens,HHEX,tf,HepG2,Epithelium,Liver,1,HHEX
65146|ZBTB14,0.24051056127400106,Homo sapiens,ZBTB14,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB14
67613|HNF1B,0.24080957123866437,Homo sapiens,HNF1B,tf,CFPAC-1,None,Pancreatic ductal,0,HNF1B
64617|HDAC8,0.24110446356997806,Homo sapiens,HDAC8,cr,K562,Erythroblast,Bone Marrow,1,HDAC8
