,0,TF
MS00361|FOXG1,0.0004578677920430786,FOXG1
MS00475|HMX3,0.00045817610023058937,HMX3
MS00214|TBX4,0.0004656954641887293,TBX4
MS00820|NFIA,0.00046733364949145384,NFIA
UP00052|Osr2,0.000489835954990093,Osr2
MS00662|NR3C2,0.000587713791989666,NR3C2
MC00170|PGR,0.000597807781557101,PGR
MS00390|ZNF238,0.0006676875202333665,ZNF238
MS00067|IRF5,0.0006971248946997555,IRF5
MC00330|FOS,0.0007782517829386728,FOS
MA0101|REL,0.0007884916762948332,REL
MC00413|Runx1,0.000818617113760764,Runx1
MS00572|NKX3-1,0.0008295460977446328,NKX3-1
MS00224|TEAD4,0.0008450745149616602,TEAD4
MA0051|IRF2,0.0008951214212549363,IRF2
MS00041|Spic,0.0009002781648868728,Spic
M01067|GFI1,0.0009773757627710858,GFI1
MC00348|STAT1,0.0011358140901414425,STAT1
M01123|NANOG,0.0012487533541867355,NANOG
MS00778|EHF,0.0013411805326723086,EHF
MS00057|HIC2,0.001428208430217775,HIC2
MS00091|PKNOX1,0.0014312368477527565,PKNOX1
M00456|BPTF,0.00144703307842426,BPTF
MC00408|Myb,0.0015350269604952642,Myb
MS00313|Creb5,0.0015705589423997178,Creb5
MS00582|OTX1,0.0016041008534104892,OTX1
MS00095|TGIF2LX,0.001688652963508751,TGIF2LX
MC00456|JUND,0.0018292777242792575,JUND
M01305|TEF,0.0019693822974599226,TEF
MS00094|TGIF1,0.002217054619643939,TGIF1
MS00295|Atf4,0.002314316559901217,Atf4
M00155|NR2F2,0.0023319857650586345,NR2F2
MS00739|E2F8,0.0024178839613350623,E2F8
M01312|NKX2-1,0.002432606895010532,NKX2-1
M00999|AIRE,0.0025490765482976733,AIRE
MS00300|CEBPE,0.002613410547365464,CEBPE
MC00272|CEBPB,0.0027255099339396896,CEBPB
MS00812|ELF3,0.0028819716470180417,ELF3
MC00511|Rxrg,0.0031196621695954805,Rxrg
MC00154|Jund,0.003236317376125856,Jund
MS00479|ZNF784,0.00397799197996229,ZNF784
MS00302|CEBPG,0.004324098567899493,CEBPG
MS00571|NKX2-8,0.005049049981917525,NKX2-8
M00133|POU3F1,0.005130969837267467,POU3F1
MS00177|RUNX3,0.005294670348298054,RUNX3
MC00293|Gfi1b,0.005667236707521717,Gfi1b
M01445|Obox6,0.00623882200781506,Obox6
MC00388|Tal1,0.006546236858674269,Tal1
M01132|SF1,0.0066048861613897236,SF1
MS00219|TEAD1,0.007004026745311581,TEAD1
MC00281|PBX3,0.007306030179871711,PBX3
MC00309|TCF7L2,0.007833447315282233,TCF7L2
MS00299|CEBPD,0.007978621545891752,CEBPD
MC00204|Stat5b,0.008000608448191811,Stat5b
MS00059|HSF2,0.008305347140021468,HSF2
MS00717|Tp53,0.008735235240570367,Tp53
MS00726|PRDM4,0.008750946635592984,PRDM4
MS00514|Hoxa11,0.008834840689124494,Hoxa11
M01466|Obox3,0.008846060259613115,Obox3
MA0130|ZNF354C,0.009529885256044257,ZNF354C
MS00254|FIGLA,0.009820142338904348,FIGLA
