,0,TF
MS00291|Tcf21,0.04461953573188757,Tcf21
MS00613|SHOX2,0.045239492612996236,SHOX2
UP00147|Nkx2-6,0.046298930423262746,Nkx2-6
M01067|GFI1,0.04664594872735913,GFI1
MS00665|NR4A2,0.04684991372811333,NR4A2
MS00588|PDX1,0.04686451463087058,PDX1
UP00236|IRX2,0.047456453632569576,IRX2
MC00389|CDX2,0.047703042660023745,CDX2
MS00326|MAFF,0.04838573758838907,MAFF
MC00126|TCF12,0.04883693037707223,TCF12
MS00615|Shox2,0.04918434856471505,Shox2
UP00193|Rhox11,0.0497529775141203,Rhox11
MS00384|FOXO6,0.04989809539543752,FOXO6
MC00287|POU2F2,0.05037554147120897,POU2F2
M00483|ATF6,0.05063866175512707,ATF6
MC00396|Nr3c1,0.05069561009346535,Nr3c1
MS00475|HMX3,0.0522486274421903,HMX3
MS00700|Rarb,0.052300588048710864,Rarb
M00526|NR6A1,0.0523730624124969,NR6A1
MS00102|MYBL2,0.05287262695512582,MYBL2
MS00564|Msx3,0.05292545777420724,Msx3
MC00371|JUNB,0.05301566433209215,JUNB
MC00477|ZNF711,0.053099461456531626,ZNF711
MS00376|FOXO1,0.05315207157112543,FOXO1
MC00508|Batf,0.05346633718253504,Batf
UP00101|Sox12,0.053473495642058,Sox12
UP00221|PHOX2A,0.05348530208387738,PHOX2A
MS00296|BATF3,0.0539168957207265,BATF3
MC00117|GATA6,0.05584282429338527,GATA6
MC00204|Stat5b,0.05603536539041454,Stat5b
MS00308|CREB3,0.056338656457508254,CREB3
MS00834|ELF4,0.05648585036159583,ELF4
MS00556|GRHL1,0.057464634667462614,GRHL1
MS00490|ZSCAN4,0.05763101551370317,ZSCAN4
MS00800|Sox1,0.05784185354561473,Sox1
MC00206|ELK1,0.057914144144225126,ELK1
MS00492|HOXB3,0.058184492709015656,HOXB3
M01364|Obox2,0.05886221513476266,Obox2
M00341|GABPB1,0.059098431437142815,GABPB1
MS00762|SOX2,0.06051193902045215,SOX2
MS00021|ETV6,0.06172229410311489,ETV6
MS00578|NOTO,0.062858972897969,NOTO
UP00130|LHX3,0.06409208111674963,LHX3
MS00059|HSF2,0.06581901454447077,HSF2
UP00158|POU1F1,0.06670236649673159,POU1F1
UP00151|BARX2,0.06793169965839406,BARX2
M01195|TBX22,0.06807210484736746,TBX22
MC00224|EPAS1,0.06812101315115847,EPAS1
MS00425|CDX1,0.06890582776441893,CDX1
MS00690|ONECUT3,0.06901957346816076,ONECUT3
MC00341|Olig2,0.06982162394367436,Olig2
MS00759|SOX21,0.07055245491617958,SOX21
MC00514|Cbfa2t2,0.07167538091778966,Cbfa2t2
MS00541|LHX9,0.0717496721696882,LHX9
MS00662|NR3C2,0.07231609542379412,NR3C2
