,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
42852|HOXC13,0.4310634436205092,Homo sapiens,HOXC13,tf,LoVo,None,Colon,0,HOXC13
65210|ZFP28,0.4407181294849518,Homo sapiens,ZFP28,,HEK293,Epithelium,Embryonic Kidney,1,ZFP28
40348|CHD5,0.4407497572174943,Homo sapiens,CHD5,cr,SH-SY5Y,None,Bone Marrow,1,CHD5
54106|DNMT1,0.4477766942754158,Homo sapiens,DNMT1,cr,PC-3,Epithelium,Prostate,1,DNMT1
42867|SKI,0.4508820250669177,Homo sapiens,SKI,predicted chromatin regulator,LoVo,None,Colon,0,SKI
73981|PRDM9,0.4523057186807704,Homo sapiens,PRDM9,predicted transcription factor,293T,None,None,0,PRDM9
42831|HAND1,0.4525578831515032,Homo sapiens,HAND1,not sure,LoVo,None,Colon,0,HAND1
64674|ZNF707,0.4557826124665502,Homo sapiens,ZNF707,,HEK293,Epithelium,Embryonic Kidney,1,ZNF707
63264|PTTG1,0.4593681203246214,Homo sapiens,PTTG1,,K562,Erythroblast,Bone Marrow,1,PTTG1
57659|BAHD1,0.4609832043549826,Homo sapiens,BAHD1,both predicted transcription factor and chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,BAHD1
1368|ZNF274,0.4736613091315165,Homo sapiens,ZNF274,predicted transcription factor,HeLa,Epithelium,Cervix,0,ZNF274
