,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
42212|STAT3,0.00000000000000000000000000000000000046920665120610847092491060026674126379652216395212143466056991864396504331375232124721409817312860109369868979106205423032802444325386159390520428542722557046792348479628854119051617428329318521144696,Homo sapiens,STAT3,tf,OCI-Ly10,B Lymphocyte,Bone Marrow,1,STAT3
38784|RFX1,0.0000000000000000000000000000000000004747763405776674720250407030715006453367095013798935330229106813147575900912143331730866754586366600622391636176098561181840878761597461804361187556519062896098222474857737411355502966707035407800935,Homo sapiens,RFX1,tf,LoVo,None,Colon,1,RFX1
394|RBPJ,0.00000000000000000000000000000000000053029916018908960060987558524771602894186454357666430777039873776321423835539988965875220170809457836635430421466326472678339112951596012804328459699391317882499995065925947208720034479694045988551208,Homo sapiens,RBPJ,tf,CUTLL1,T Lymphocyte,Blood,1,RBPJ
46195|TAF7,0.0000000000000000000000000000000000026791245894285271818147960741975551671963793371073030744880944562926278030790900070287953670028862613973025741192300131351036122047641416129371488275975848518008920016835093102039532714153792552367755,Homo sapiens,TAF7,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,TAF7
58808|MAF,0.0000000000000000000000000000000000030728855194646208598802967218080396927806684554297591104339280827673019628719795017890184860913374419295574698707244886975397085580254151752897542331869098225746134158005539922445158819124991154919514,Homo sapiens,MAF,tf,None,Th1,None,1,MAF
64865|ZFX,0.0000000000000000000000000000000000036640834028098751659204067560349201340075822421223405833471020202732865756950583852326295245614984964798330737302521829992554740620302452152310253744166324563924782280204287355782880478286171851717328,Homo sapiens,ZFX,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZFX
58805|MYB,0.0000000000000000000000000000000000085151849531261192370719341098006824092561982358983389862366149075185985210324571342051391156359970558371907922568608508679735003883438199621347678822153281280606079853809479938631279699231862483091785,Homo sapiens,MYB,tf,None,Th1,None,1,MYB
1226|TRRAP,0.0000000000000000000000000000000000087726957827745144180832161686694150778126453802093248246374376832167290403643638982398583668290196671954434082191961155926453442635743368465515856005890389415783953112725507737771281124601692128676204,Homo sapiens,TRRAP,cr,HeLa,Epithelium,Cervix,1,TRRAP
45390|KDM5B,0.0000000000000000000000000000000000099478081592031366604295564004737001259015885003850161352070366832587857870040656699708721422184186156389330196789683972075315323500014152049271040035572720203198032729445850520812450546915260828387278,Homo sapiens,KDM5B,cr,K562,Erythroblast,Bone Marrow,1,KDM5B
44028|BRCA1,0.000000000000000000000000000000000010899539671346394280079398938447065594995248878705290422592993926328270150126890346921017417132088155200766081074205964098911308503814454136794193632702915724116248750600789952573530093819308696599342,Homo sapiens,BRCA1,predicted chromatin regulator,MCF-10A,Epithelium,Breast,1,BRCA1
