,0,TF
UP00259|HOXB6,0.022613561249620332,HOXB6
MC00388|Tal1,0.022955823723431138,Tal1
MC00465|NR3C1,0.02457530536310277,NR3C1
UP00159|SIX2,0.02689529795377224,SIX2
MS00452|ESX1,0.027601805054142656,ESX1
MS00497|HOXC11,0.028007245205930658,HOXC11
UP00249|NKX2-5,0.029786424979900326,NKX2-5
M01195|TBX22,0.02989337355818828,TBX22
UP00260|Hoxc6,0.03003401587667753,Hoxc6
UP00161|Hmbox1,0.037663391946820016,Hmbox1
MS00318|Hlf,0.0383203919694914,Hlf
MS00662|NR3C2,0.038854060829157225,NR3C2
MS00190|SCRT2,0.03888684846797826,SCRT2
UP00030|Sox11,0.03903140535322649,Sox11
MS00302|CEBPG,0.04208116371333281,CEBPG
UP00137|Hoxb3,0.042082518455285094,Hoxb3
M01146|DMRT1,0.04222371115954897,DMRT1
UP00242|HOXC8,0.04473187159376838,HOXC8
M00678|ETV7,0.04545584896435474,ETV7
UP00214|HOXB5,0.045466064513978534,HOXB5
MS00481|HOXA10,0.04662336335933504,HOXA10
MS00419|BSX,0.04746152546969984,BSX
UP00147|Nkx2-6,0.047508877338515526,Nkx2-6
MC00151|SPI1,0.047630252666279516,SPI1
MS00055|HOMEZ,0.048217570458844713,HOMEZ
MS00428|DLX2,0.05133298719739055,DLX2
UP00132|Evx2,0.05138230750378867,Evx2
MC00126|TCF12,0.054625624409834976,TCF12
MS00585|OTX2,0.05552468519055635,OTX2
M01075|ZBTB16,0.06586269320897231,ZBTB16
UP00078|ARID3A,0.06800830529840354,ARID3A
MS00449|EN1,0.06848395333880858,EN1
UP00192|SIX1,0.06872005534190759,SIX1
MS00299|CEBPD,0.07090960673316954,CEBPD
MS00730|ZNF435,0.07196595137818239,ZNF435
MS00595|PITX1,0.07413910779852888,PITX1
M00454|ARID5B,0.07517035179012484,ARID5B
UP00182|HOXA6,0.07572465417918396,HOXA6
MC00162|LMO2,0.07762115739930255,LMO2
MS00521|Hoxd3,0.07820662324749657,Hoxd3
MS00033|SPDEF,0.08206172794780815,SPDEF
MA0130|ZNF354C,0.08401500610438083,ZNF354C
UP00075|Sox15,0.08713208508346051,Sox15
UP00213|HOXA9,0.08774043669403896,HOXA9
UP00237|Otp,0.0879751785316699,Otp
MS00555|MIXL1,0.08933451901620594,MIXL1
MS00300|CEBPE,0.09107321307923037,CEBPE
MS00337|NFIL3,0.09481796538157972,NFIL3
MS00466|GSX2,0.09652554047802717,GSX2
M01151|Dmrtc2,0.1023818476414433,Dmrtc2
MS00317|HLF,0.10244692193458681,HLF
MS00261|ID4,0.10572408332970182,ID4
MC00513|SFPI1,0.10693681076331005,SFPI1
UP00034|Sox7,0.11405811646786869,Sox7
UP00197|HOXC9,0.11985730282975586,HOXC9
MS00390|ZNF238,0.11994528925839246,ZNF238
UP00391|HOXA3,0.12053029665115962,HOXA3
MS00418|BARX1,0.12309433684783465,BARX1
MC00321|JUN,0.12459618121336763,JUN
UP00107|Nkx2-4,0.1276928044903489,Nkx2-4
MS00581|Nkx6-1,0.13265797468013657,Nkx6-1
MS00624|VENTX,0.1348426278214559,VENTX
UP00189|HOXA5,0.13504928812254752,HOXA5
UP00080|Gata5,0.137086771926946,Gata5
MS00605|RAXL1,0.13791483893967424,RAXL1
MS00450|EN2,0.14170704621787164,EN2
M01734|NFATC4,0.14690748033017614,NFATC4
UP00252|HOXC5,0.1507038188136142,HOXC5
MS00669|Nr2f6,0.15325317930150156,Nr2f6
UP00119|Nkx2-9,0.15420280544970658,Nkx2-9
MC00505|POLR2B,0.15538875577010072,POLR2B
UP00055|HBP1,0.1565994682038394,HBP1
MS00429|DLX3,0.1571123110944974,DLX3
M00495|BACH1,0.15744746253225267,BACH1
M01709|MAFA,0.15749060922535166,MAFA
MS00726|PRDM4,0.15832967572889173,PRDM4
MC00265|Tcf3,0.16190938662404697,Tcf3
M01300|HMGA2,0.16222055894411963,HMGA2
MS00084|MEIS3,0.16553546677371916,MEIS3
MS00700|Rarb,0.1677139297769043,Rarb
MS00507|HOXD11,0.17074233733010588,HOXD11
MC00157|Tead4,0.1707670817264117,Tead4
MC00511|Rxrg,0.17413018669702088,Rxrg
UP00238|Nkx6-3,0.17894319075095114,Nkx6-3
MC00456|JUND,0.18662234194412028,JUND
MS00518|Hoxc10,0.19144515835337866,Hoxc10
