Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Elf5,MS00022;6.19E-01,,,,
ZBTB12,UP00019;6.20E-01,,,,
OTX1,MS00582;6.21E-01,,,,
Stat5a,MC00205;6.21E-01,,,,
Bcl6b,UP00043;6.24E-01,,,,
Elk3,MS00023;6.24E-01,,,,
EVX1,MS00454;6.27E-01,,,,
Esrra,MS00641;6.31E-01,,,,
CEBPE,MS00300;6.31E-01,,,,
Sox11,MS00795;6.32E-01,UP00030;9.44E-01,,,
Nr5a2,MC00352;6.32E-01,,,,
PKNOX2,MS00092;6.33E-01,,,,
Pax7,MC00258;6.34E-01,UP00248;9.48E-01,,,
Creb1,MC00163;6.34E-01,,,,
USF1,MC00248;6.35E-01,,,,
