,0,TF
M01148|DMRT3,0.02406828649777738,DMRT3
MC00507|Meis1,0.024166298753615856,Meis1
UP00080|Gata5,0.024763761243192337,Gata5
M01288|NEUROD1,0.025457465522204452,NEUROD1
UP00095|Zfp691,0.025621489120351903,Zfp691
MS00518|Hoxc10,0.025809225441968054,Hoxc10
MC00223|SMAD2/3,0.0262526344545625,SMAD2/3
MS00387|FOXP3,0.02651750629971256,FOXP3
M01312|NKX2-1,0.02676633483506168,NKX2-1
MS00417|BARX1,0.027552889159602266,BARX1
MS00285|TCF4,0.028038655906782926,TCF4
M01466|Obox3,0.028206361423827576,Obox3
MS00685|RORA,0.02927564325446451,RORA
MS00373|FOXL1,0.029670807715808992,FOXL1
MA0130|ZNF354C,0.0302012100946994,ZNF354C
M01733|MZF1,0.030376311274398774,MZF1
MS00137|POU2F3,0.030854589745615477,POU2F3
MS00397|Foxj3,0.030916953014026236,Foxj3
M01480|Obox5,0.031228574128675718,Obox5
MS00547|Lhx4,0.0318778869921036,Lhx4
MS00726|PRDM4,0.03230698506749319,PRDM4
UP00155|Hmx2,0.03295322182182391,Hmx2
UP00082|Zfp187,0.033259989749972,Zfp187
MC00135|Rela,0.03359276108004942,Rela
MC00118|GATA2,0.034024633145282875,GATA2
MC00111|Bcl6,0.03459938976672249,Bcl6
M01453|ALX1,0.034949632106145254,ALX1
MS00774|SOX8,0.035312636795261504,SOX8
UP00044|Mafk,0.03599395352162518,Mafk
M00155|NR2F2,0.03617472336061371,NR2F2
M00987|FOXP1,0.03685319006938669,FOXP1
MS00179|SCRT1,0.0371689356142873,SCRT1
M00294|Foxf1a,0.037494799166020616,Foxf1a
MS00626|VSX1,0.0389618257778894,VSX1
MC00327|Gata1,0.03924623103449008,Gata1
MS00494|HOXC10,0.03952641635045735,HOXC10
MC00120|GATA1,0.04155105276229315,GATA1
MC00504|Scx,0.04330145012902747,Scx
MS00134|POU2F2,0.043368991215657036,POU2F2
MS00129|POU1F1,0.04480139499658602,POU1F1
UP00263|Hoxb8,0.04551495427036301,Hoxb8
MS00829|ESRRA,0.04591305474785627,ESRRA
MS00728|ZNF232,0.04771376209473513,ZNF232
M00490|BACH2,0.047948649478670516,BACH2
MS00244|Atoh1,0.048326947125847196,Atoh1
MC00368|Hsf1,0.04872913646556155,Hsf1
M01123|NANOG,0.05019693244907264,NANOG
M01300|HMGA2,0.05047913029535048,HMGA2
UP00004|Sox14,0.05084346662731205,Sox14
MC00146|Smad2/3,0.05097251042867256,Smad2/3
UP00051|Sox8,0.05148576380515565,Sox8
UP00126|DLX2,0.05180952997607377,DLX2
MS00380|FOXO3,0.0521962171875397,FOXO3
MS00484|HOXA13,0.0528510123603522,HOXA13
MC00411|BATF,0.052863541412540495,BATF
MS00153|POU5F1P1,0.053208446536254325,POU5F1P1
MS00224|TEAD4,0.05346074343738383,TEAD4
MC00163|Creb1,0.05395525246628798,Creb1
MC00325|Gata2,0.05437509092059936,Gata2
UP00101|Sox12,0.05458344915200571,Sox12
UP00030|Sox11,0.05629493113505561,Sox11
UP00112|Gsc,0.05631373625207551,Gsc
MC00269|SOX2,0.05648240536038339,SOX2
MS00578|NOTO,0.05654502756910172,NOTO
UP00037|Zfp105,0.05783780298457377,Zfp105
MC00514|Cbfa2t2,0.05826858291133615,Cbfa2t2
MC00151|SPI1,0.05837301645202719,SPI1
MS00075|MEF2B,0.05978511397137393,MEF2B
MS00369|FOXJ3,0.05981379012821076,FOXJ3
MC00349|Jun,0.05996205737287879,Jun
M00088|IKZF1,0.06043089161991472,IKZF1
MC00520|MEIS1,0.06373646387254156,MEIS1
M01399|Hlx,0.06391352452889233,Hlx
MS00441|EMX1,0.06620507437815944,EMX1
MS00132|POU2F1,0.0671519577137968,POU2F1
M00289|FOXI1,0.06993077967914038,FOXI1
MC00513|SFPI1,0.07108175795437166,SFPI1
UP00091|SOX5,0.0711256373576905,SOX5
UP00120|Lbx2,0.07216814352228032,Lbx2
UP00241|HOXD3,0.07432165856941897,HOXD3
MC00140|Stat3,0.07494583885070737,Stat3
MS00571|NKX2-8,0.07548091314956001,NKX2-8
MC00324|Gata4,0.07608352616245787,Gata4
MS00624|VENTX,0.0772619505432673,VENTX
MS00465|GSX1,0.0778703702019799,GSX1
UP00119|Nkx2-9,0.07912521215976244,Nkx2-9
UP00212|LHX5,0.07934957048269119,LHX5
UP00096|SOX13,0.08004479913302491,SOX13
UP00140|Hoxd1,0.08087308361223888,Hoxd1
MS00493|HOXB5,0.0808899323714731,HOXB5
MS00427|DLX1,0.0809933875794509,DLX1
MS00511|HOXD13,0.08121383248517876,HOXD13
UP00150|IRX6,0.08297563152854359,IRX6
M01150|Dmrta2,0.08309530057188465,Dmrta2
UP00187|ALX4,0.08314559883852965,ALX4
MS00059|HSF2,0.08442236351398111,HSF2
MS00662|NR3C2,0.08447869551754762,NR3C2
