Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
6278	660	JUND	GM12878	B Lymphocyte	Blood	0.9999990040064182	6.0934756971362325e-05	0.006382996017691281	0.9999969618865445
6279	39365	SMAD3	LX2	Hepatic Stellate Cell	None	0.9999992562621225	2.9010867521675413e-06	0.0003750566948325908	0.999996991561495
6280	8103	CTCF	HepG2	Epithelium	Liver	0.999999061850702	1.67503595866563e-05	0.031009874722678247	0.9999970184737292
6281	33138	GATA3	MCF-7	Epithelium	Breast	0.9999990170976734	0.052811890473911854	0.2610436246147998	0.9999970512301495
6282	41127	ESR1	None	Epithelium	Mammary Gland	0.9999990573728225	0.31131661542141154	0.49098621975861345	0.9999971721125895
6283	51467	GATA4	HUES64	Embryonic Stem Cell	Embryo	0.9999990630447998	0.08217965540864464	0.20450388672617426	0.999997189092011
6284	53961	ESR1	T47D	Epithelium	Mammary Gland	0.9999990969225083	0.0013681559277543037	0.025154314055887656	0.9999972888808795
6285	67737	GATA2	LNCaP	Epithelium	Prostate	0.9999991163137782	0.00809151108793858	0.17662524894310566	0.9999973486399631
6286	47599	GATA6	AGS	Epithelium	Stomach	0.9999993301599922	2.967752853510641e-06	0.008510378461272982	0.9999974044424964
6287	56124	AR	None	None	Prostate	0.9999991693655315	0.00016046955568604495	0.049497337632020307	0.9999974950887909
6288	54084	ESR1	MCF-7	Epithelium	Breast	0.9999991659203918	0.7838810145751298	0.9026755259430466	0.9999974977900726
6289	63231	CEBPB	A549	Epithelium	Lung	0.9999992053693776	7.591124281551169e-05	0.0013929919965087868	0.9999975895002262
6290	65079	ZNF317	HEK293	Epithelium	Embryonic Kidney	0.9999992147292378	4.277019270012788e-05	0.03238550725386904	0.9999976000663782
6291	62755	FOSL2	A549	Epithelium	Lung	0.9999992276712464	0.0016800595016810893	0.022214483803397005	0.9999976818676327
6292	74400	ESR1	MCF-7	None	Breast	0.9999992331446073	0.08375897895289575	0.585083496048769	0.999997699414765
6293	48303	REST	GM12878	B Lymphocyte	Blood	0.7326534645493186	0.9999991603472503	0.9999924250228158	0.9999977324004987
6294	62753	FOSL2	A549	Epithelium	Lung	0.9999992682502006	0.003140809640538033	0.014077352125371857	0.999997804124952
6295	68864	NR3C1	ZR-75-1	Embryonic Stem Cell	Breast	0.9999992937479241	0.028116036136494906	0.2686922430729046	0.9999978811865087
6296	76422	MAML3	SK-N-SH	Neuroblastoma cell	Brain	0.9999993092946868	0.7311730741490798	0.7464545243419173	0.9999979278924513
6297	47857	REST	GM12878	B Lymphocyte	Blood	0.5072891948411699	0.9999992644003745	0.999989844258198	0.999997942248102
6298	56118	AR	None	None	Prostate	0.9999993143305472	0.02484344953064205	0.27947412260113114	0.9999979429313047
6299	50049	AR	None	Epithelium	Prostate	0.9999993263390603	0.34149542547156275	0.673734522911862	0.9999979790174534
6300	54027	ESR1	MCF-7	Epithelium	Breast	0.9999993455904397	0.4806184794937591	0.7622486254317857	0.9999980367754323
6301	56106	AR	None	None	Prostate	0.9999993497410072	0.04738733524263065	0.23866245319814838	0.9999980491921707
6302	33494	ESR1	None	Epithelium	Mammary Gland	0.999999355170758	0.00032943487811742933	0.00927955209518521	0.9999980615833963
6303	35946	FOXA1	Huh7	Epithelium	Liver	0.9999993690873477	0.23294009596279514	0.3789006680592224	0.9999981072563657
6304	39347	USP49	HCT-116	None	Colon	0.15491805298507877	0.9999949900571052	0.9999993088697382	0.9999981779558682
6305	5678	NKX3-1	LNCaP	Epithelium	Prostate	0.999999400860052	0.00926906827657467	0.09592067627410156	0.9999982024531119
6306	65187	ZNF146	HEK293	Epithelium	Embryonic Kidney	0.999999406518644	0.030922131326268087	0.5119937994678108	0.9999982195219925
6307	45987	CTCF	MCF-7	Epithelium	Breast	0.9999995961154862	1.2826471852905168e-06	0.005220519186410121	0.9999982312636233
6308	63829	FOSL2	A549	Epithelium	Lung	0.9999995022267284	3.3373711550204305e-06	0.000376890154353918	0.9999982421769565
6309	63146	FOXA1	HepG2	Epithelium	Liver	0.9999994159168998	0.09123396803420636	0.11221170264224933	0.9999982477310502
6310	33918	FOXA1	LNCaP	Epithelium	Prostate	0.9999994445490015	1.202665712895148e-05	0.044750884469473846	0.9999982529374001
6311	62691	CEBPG	MCF-7	Epithelium	Breast	0.9999994226290675	0.010066639894578247	0.10807378844836502	0.9999982677789885
6312	44760	TP63	None	Keratinocyte	Foreskin	0.9999994292945824	0.0006763344980625234	0.0020162015799108863	0.9999982859522281
6313	49625	GATA3	MCF-7	Epithelium	Breast	0.9999994366502049	0.02137995200302938	0.18220478547901198	0.9999983099015064
6314	52637	ESR1	MCF-7	Epithelium	Breast	0.9999994474590517	0.7786848288090873	0.9542079669826271	0.999998342400467
6315	63827	FOSL2	A549	Epithelium	Lung	0.9999994674522885	0.01159174956918866	0.03200108221357654	0.9999984022569952
6316	53963	ESR1	T47D	Epithelium	Mammary Gland	0.9999994913145357	8.847051485299357e-05	0.0017970813688597757	0.999998464681286
6317	33159	GATA3	MCF-7	Epithelium	Breast	0.9999994951353448	0.007259912838182899	0.09393197257224689	0.9999984852928142
