,0,TF
MS00436|DPRX,0.02830036056473179,DPRX
M00483|ATF6,0.02831715987445231,ATF6
MS00468|ZNF75A,0.029683132379065884,ZNF75A
UP00206|Hoxb7,0.030228500908416604,Hoxb7
MS00060|HSF4,0.030606181303897754,HSF4
MC00355|SRF,0.03152545419072052,SRF
MS00532|Irx3,0.03205347193251445,Irx3
MS00355|FOXD2,0.03265654006585671,FOXD2
MS00668|Nr2e1,0.032771002506735064,Nr2e1
M00490|BACH2,0.03314189864594216,BACH2
UP00150|IRX6,0.03353683277573134,IRX6
MC00388|Tal1,0.03446269337797908,Tal1
M00105|CUX1,0.035376380055817544,CUX1
M00241|NKX2-5,0.03700349862450764,NKX2-5
MC00293|Gfi1b,0.037046082411562,Gfi1b
MC00339|NFE2L2,0.03754165318985567,NFE2L2
MS00073|IRF9,0.037832309230520736,IRF9
MS00501|Zfp652,0.03931902037257523,Zfp652
MS00465|GSX1,0.040251337413846455,GSX1
M01734|NFATC4,0.041155375899469986,NFATC4
UP00140|Hoxd1,0.04260459312337024,Hoxd1
UP00207|HOXB9,0.042979828290032274,HOXB9
UP00263|Hoxb8,0.04393030282881486,Hoxb8
M01466|Obox3,0.0440380222439692,Obox3
UP00231|NKX2-2,0.044174888118852014,NKX2-2
MS00461|GBX2,0.04684208160757851,GBX2
UP00152|Arx,0.0481453228137058,Arx
MS00466|GSX2,0.04848252961846702,GSX2
UP00051|Sox8,0.04862299932961213,Sox8
MA0116|Zfp423,0.0500078820019189,Zfp423
MS00168|PRDM1,0.051742414965237044,PRDM1
MS00406|Alx1,0.05241862487061462,Alx1
MS00190|SCRT2,0.054517408890959455,SCRT2
MS00369|FOXJ3,0.055621203284248896,FOXJ3
MS00566|NKX2-3,0.05749175655057442,NKX2-3
MS00320|JDP2,0.057530091185448835,JDP2
MS00433|DMBX1,0.05898141064390915,DMBX1
MS00318|Hlf,0.06186511472398721,Hlf
M01147|DMRT2,0.062170221886224036,DMRT2
MS00373|FOXL1,0.06307445044818866,FOXL1
MS00088|Meis3,0.06337734061556666,Meis3
MS00692|RXRB,0.06729467992390194,RXRB
MS00214|TBX4,0.06799110633882352,TBX4
MS00417|BARX1,0.06861529514334615,BARX1
M00041|ATF2::JUN,0.0686887353763367,ATF2::JUN
MS00252|Bhlhb2,0.06987119269103205,Bhlhb2
M00694|E4F1,0.07041308534862224,E4F1
UP00034|Sox7,0.0718610159852145,Sox7
UP00091|SOX5,0.07406858884211566,SOX5
MS00075|MEF2B,0.07659820195892737,MEF2B
UP00252|HOXC5,0.07792861477610964,HOXC5
MS00130|POU1F1,0.07855784917366841,POU1F1
MC00121|Cebpb,0.07927627570693536,Cebpb
MS00472|HMBOX1,0.08029045162457293,HMBOX1
UP00195|SIX3,0.08055666315126533,SIX3
MS00033|SPDEF,0.08311939985514713,SPDEF
UP00244|TLX2,0.08548324359892018,TLX2
M01728|NR2F6,0.08558108673459315,NR2F6
MS00458|En2,0.08570181052209495,En2
M00648|MAF,0.08620520620393426,MAF
UP00261|LHX4,0.08636209410017769,LHX4
MS00192|TBX15,0.08849731805988036,TBX15
MC00385|Ets1,0.08907164967009389,Ets1
UP00121|Hoxd10,0.09106652175602972,Hoxd10
UP00019|ZBTB12,0.09116824569938357,ZBTB12
MC00389|CDX2,0.09217930537590047,CDX2
MC00272|CEBPB,0.09221561708681432,CEBPB
MS00137|POU2F3,0.09248510969296163,POU2F3
MS00248|BHLHB3,0.0949135827629526,BHLHB3
M00640|HOXA4,0.09527985874943573,HOXA4
UP00187|ALX4,0.09543954612909228,ALX4
MS00376|FOXO1,0.09598891879211788,FOXO1
M00964|NR1I2,0.09616628323258357,NR1I2
MC00368|Hsf1,0.09697475313926983,Hsf1
UP00023|Sox30,0.09714398073298396,Sox30
UP00242|HOXC8,0.09741459704995589,HOXC8
MC00325|Gata2,0.09837370638228514,Gata2
M01148|DMRT3,0.09883563711926063,DMRT3
MS00072|IRF8,0.09907371853891743,IRF8
MC00344|Hnf4a,0.10010262855448677,Hnf4a
M01306|ZNF217,0.10119909293825924,ZNF217
UP00120|Lbx2,0.10378191466502391,Lbx2
M01150|Dmrta2,0.1037962836308122,Dmrta2
MC00504|Scx,0.10466281456087413,Scx
M00294|Foxf1a,0.10568137467818645,Foxf1a
MS00422|Barhl1,0.1092676282520026,Barhl1
MS00516|Hoxa2,0.11207348576308929,Hoxa2
MC00507|Meis1,0.11407960434414978,Meis1
MC00514|Cbfa2t2,0.11488834204982865,Cbfa2t2
MS00083|MEIS2,0.11851920407078437,MEIS2
MS00484|HOXA13,0.11856627102853654,HOXA13
MC00453|STAT5A,0.11956270475020138,STAT5A
MS00202|TBX20,0.12246833549685253,TBX20
MS00581|Nkx6-1,0.12627635999870446,Nkx6-1
MS00153|POU5F1P1,0.1285936285467578,POU5F1P1
MS00488|HOXB13,0.13784316748554534,HOXB13
MC00326|Gata3,0.14147657939661326,Gata3
MS00380|FOXO3,0.14208772820270368,FOXO3
MA0030|FOXF2,0.14360716335686016,FOXF2
MC00162|LMO2,0.14814862061469278,LMO2
UP00101|Sox12,0.14869383925808283,Sox12
UP00189|HOXA5,0.14942569947574608,HOXA5
MS00490|ZSCAN4,0.15284290584818783,ZSCAN4
UP00139|Nkx1-2,0.1555086738230918,Nkx1-2
MS00718|Tp53,0.15848080386493194,Tp53
MS00653|NR2E1,0.16000001340096703,NR2E1
MS00463|GSC2,0.1613918323651532,GSC2
M00155|NR2F2,0.1625096231190934,NR2F2
UP00169|LMX1B,0.17060068151485597,LMX1B
MS00313|Creb5,0.17209195695420942,Creb5
UP00128|POU3F2,0.1725612532606857,POU3F2
MS00662|NR3C2,0.1742471149689556,NR3C2
MS00459|GBX1,0.17491278807162713,GBX1
M01262|TBX18,0.17717103344788365,TBX18
MS00441|EMX1,0.17839666433575999,EMX1
MS00552|MEOX2,0.18085313025279215,MEOX2
MS00486|HOXA1,0.1825215350358235,HOXA1
MS00487|HOXA2,0.1834989487816181,HOXA2
MC00211|NFATC1,0.1845544613247854,NFATC1
MS00169|RFX5,0.18801881704718704,RFX5
M00465|POU6F1,0.1888787611151056,POU6F1
MC00305|Sox6,0.19408639063251237,Sox6
MS00243|Ascl2,0.19569795194476952,Ascl2
MS00588|PDX1,0.1969087665126005,PDX1
MA0365|RFX1,0.19832343613921286,RFX1
UP00041|Foxj1,0.1992396908569694,Foxj1
M01312|NKX2-1,0.20096751766186252,NKX2-1
MS00497|HOXC11,0.2010127119065285,HOXC11
MS00295|Atf4,0.20119840689128288,Atf4
MS00473|HMX1,0.20172773265019342,HMX1
MS00464|GSC,0.20244348408596907,GSC
MS00709|THRA,0.20376888631101678,THRA
MA0051|IRF2,0.2058194442261757,IRF2
MS00076|MEF2D,0.20624957930966423,MEF2D
MC00505|POLR2B,0.20854597483217832,POLR2B
MA0442|SOX10,0.2099568545087872,SOX10
MS00220|TEAD1,0.21535062220966072,TEAD1
MA0164|NR2E3,0.21766116605418753,NR2E3
MS00147|POU3F4,0.21846058218706738,POU3F4
M00141|IKZF1,0.2214908690081072,IKZF1
MS00143|POU3F3,0.2237413334905765,POU3F3
MS00253|CLOCK,0.2242714667503396,CLOCK
UP00389|NKX3-1,0.2275879916262269,NKX3-1
MC00402|Hoxc9,0.23214824718481333,Hoxc9
UP00254|POU2F1,0.23263663645458332,POU2F1
MS00402|ALX3,0.23640597308832054,ALX3
MS00491|HOXB2,0.2470686370898926,HOXB2
UP00080|Gata5,0.2506533221735565,Gata5
MS00040|SPIC,0.2559197356992542,SPIC
M00062|IRF1,0.2561688727871183,IRF1
MS00551|MEOX1,0.26006894003553704,MEOX1
